ID,Name,Age,Salary,Category,Joining_Date,Salary_Scaled,Age_Standardized,Category_Encoded,Salary_per_Age,Salary_Level
1,Alice,25,50000,A,2020-01-15,0.07407407407407418,-1.046228748694373,0,2000.0,Low
2,Bob,30,60000,B,2019-06-20,0.44444444444444464,-0.07749842582921257,1,2000.0,High
3,Charlie,35,70000,A,2018-03-12,0.8148148148148149,0.891231897035948,0,2000.0,High
4,David,28,48000,C,2021-07-25,0.0,-0.4649905549752768,2,1714.2857142857142,Low
5,Eva,22,52000,B,2020-09-30,0.14814814814814814,-1.6274669424134696,1,2363.6363636363635,High
6,Frank,40,75000,A,2017-12-11,1.0,1.8599622199011085,0,1875.0,High
7,Grace,32,58000,C,2019-05-18,0.37037037037037024,0.30999370331685167,2,1812.5,High
8,Helen,29,62000,B,2021-10-22,0.5185185185185186,-0.2712444904022447,1,2137.9310344827586,High
9,Ian,27,54000,C,2020-11-05,0.22222222222222232,-0.6587366195483089,2,2000.0,High
10,Jack,36,68000,A,2018-08-17,0.7407407407407409,1.08497796160898,0,1888.888888888889,High
